,rssi_D1_1F_AP01,rssi_D1_1F_AP02,rssi_D1_1F_AP03,rssi_D1_1F_AP04,rssi_D1_1F_AP05,rssi_D1_1F_AP06,rssi_D1_1F_AP07,rssi_D1_1F_AP08,xr,yr,cur_eirp,floor
16,-100.0,-100.0,-100.0,-93.0,-56.0,-100.0,-100.0,-100.0,63.60522109,1269.452828,9.0,1
17,-100.0,-100.0,-100.0,-93.0,-56.0,-100.0,-100.0,-100.0,63.60522109,1269.452828,9.0,1
18,-100.0,-100.0,-100.0,-100.0,-56.0,-100.0,-100.0,-100.0,63.60522109,1269.452828,9.0,1
19,-100.0,-100.0,-100.0,-93.0,-56.0,-100.0,-100.0,-100.0,63.60522109,1269.452828,9.0,1
20,-100.0,-100.0,-100.0,-93.0,-57.0,-100.0,-100.0,-100.0,63.60522109,1269.452828,9.0,1
21,-100.0,-100.0,-100.0,-93.0,-100.0,-100.0,-100.0,-100.0,63.60522109,1269.452828,9.0,1
22,-100.0,-100.0,-100.0,-93.0,-56.0,-100.0,-100.0,-100.0,63.60522109,1269.452828,9.0,1
23,-100.0,-100.0,-100.0,-92.0,-56.0,-100.0,-100.0,-100.0,63.60522109,1269.452828,9.0,1
24,-100.0,-100.0,-100.0,-92.0,-100.0,-100.0,-100.0,-100.0,63.60522109,1269.452828,9.0,1
25,-100.0,-100.0,-100.0,-93.0,-55.0,-100.0,-100.0,-100.0,63.60522109,1269.452828,9.0,1
26,-100.0,-100.0,-100.0,-93.0,-55.0,-100.0,-100.0,-100.0,63.60522109,1269.452828,9.0,1
27,-100.0,-100.0,-100.0,-100.0,-55.0,-100.0,-100.0,-100.0,63.60522109,1269.452828,9.0,1
28,-100.0,-100.0,-100.0,-92.0,-55.0,-100.0,-100.0,-100.0,63.60522109,1269.452828,9.0,1
29,-100.0,-100.0,-100.0,-92.0,-100.0,-100.0,-100.0,-100.0,63.60522109,1269.452828,9.0,1
30,-100.0,-100.0,-100.0,-93.0,-56.0,-100.0,-100.0,-100.0,63.60522109,1269.452828,9.0,1
31,-100.0,-100.0,-100.0,-93.0,-56.0,-100.0,-100.0,-100.0,63.60522109,1269.452828,9.0,1
32,-100.0,-100.0,-100.0,-92.0,-55.0,-100.0,-100.0,-100.0,63.60522109,1269.452828,9.0,1
33,-100.0,-100.0,-100.0,-93.0,-55.0,-100.0,-100.0,-100.0,63.60522109,1269.452828,9.0,1
34,-100.0,-100.0,-100.0,-100.0,-55.0,-100.0,-100.0,-100.0,63.60522109,1269.452828,9.0,1
35,-100.0,-100.0,-100.0,-93.0,-100.0,-100.0,-100.0,-100.0,63.60522109,1269.452828,9.0,1
36,-100.0,-100.0,-100.0,-93.0,-100.0,-100.0,-100.0,-100.0,63.60522109,1269.452828,9.0,1
37,-100.0,-100.0,-100.0,-92.0,-54.0,-100.0,-100.0,-100.0,63.60522109,1269.452828,9.0,1
38,-100.0,-100.0,-100.0,-93.0,-54.0,-100.0,-100.0,-100.0,63.60522109,1269.452828,9.0,1
39,-100.0,-100.0,-100.0,-93.0,-54.0,-100.0,-100.0,-100.0,63.60522109,1269.452828,9.0,1
40,-100.0,-100.0,-100.0,-100.0,-54.0,-100.0,-100.0,-100.0,63.60522109,1269.452828,9.0,1
41,-81.0,-100.0,-100.0,-93.0,-100.0,-100.0,-100.0,-100.0,63.60522109,1269.452828,9.0,1
42,-100.0,-100.0,-100.0,-100.0,-100.0,-82.0,-100.0,-100.0,63.60522109,1269.452828,9.0,1
